x,y
258.9,475.1
258.8,475.1
258.8,475
258.7,474.9
258.6,474.9
258.6,474.8
258.5,474.7
258.5,474.6
258.5,474.5
258.4,474.5
258.4,474.4
258.3,474.4
258.2,474.3
258.1,474.3
258,474.3
257.9,474.2
257.8,474.2
257.7,474.1
257.6,474
257.5,474
257.5,473.9
257.4,474
257.3,474
257.2,474
257.1,474
257.1,474.1
257,474.1
257,474.2
256.9,474.2
256.8,474.3
256.7,474.3
256.7,474.4
256.6,474.4
256.5,474.4
256.4,474.4
256.3,474.4
256.2,474.5
256.2,474.6
256.1,474.6
256.1,474.7
256,474.7
256,474.8
256,474.9
256,475
256,475.1
256,475.2
256,475.3
256,475.4
256,475.5
255.9,475.5
255.9,475.6
255.8,475.6
255.8,475.7
255.7,475.7
255.7,475.8
255.6,475.9
255.6,476
255.5,476
255.5,476.1
255.4,476.1
255.3,476.2
255.2,476.2
255.1,476.2
255.1,476.3
255,476.3
254.9,476.4
254.9,476.5
254.9,476.6
254.8,476.6
254.8,476.7
254.7,476.7
254.5,476.7
254.5,476.8
254.5,476.9
254.5,477
254.4,477
254.4,477.1
254.3,477.1
254.2,477.2
254.1,477.2
254,477.2
253.9,477.2
253.8,477.2
253.7,477.2
253.6,477.1
253.5,477.1
253.4,477.1
253.4,477
253.3,477
253.3,476.9
253.2,476.9
253.2,476.8
253.2,476.7
253.1,476.7
253,476.7
252.9,476.7
252.8,476.7
252.7,476.6
252.7,476.7
252.6,476.7
252.5,476.7
252.5,476.6
252.4,476.6
252.4,476.5
252.3,476.5
252.2,476.5
252.1,476.5
252,476.5
251.9,476.5
251.9,476.6
251.8,476.6
251.7,476.6
251.6,476.6
251.5,476.6
251.5,476.5
251.4,476.5
251.3,476.4
251.2,476.5
251.1,476.5
251,476.6
250.9,476.6
250.8,476.7
250.7,476.7
250.7,476.6
250.6,476.6
250.6,476.7
250.5,476.7
250.4,476.7
250.4,476.8
250.3,476.8
250.3,476.9
250.2,476.9
250.2,477
250.1,477.1
250,477.2
250,477.3
249.9,477.3
249.8,477.3
249.8,477.4
249.7,477.4
249.6,477.4
249.6,477.5
249.5,477.5
249.4,477.5
249.3,477.5
249.3,477.6
249.2,477.6
249.1,477.6
249,477.6
249,477.5
249,477.4
248.9,477.4
248.8,477.3
248.7,477.3
248.6,477.3
248.5,477.3
248.4,477.2
248.3,477.2
248.2,477.2
248.1,477.1
248,477.1
247.9,477.1
247.8,477.2
247.7,477.2
247.6,477.2
247.5,477.2
247.4,477.1
247.3,477.1
247.3,477
247.2,476.9
247.2,476.8
247.1,476.8
247.1,476.7
247,476.7
246.9,476.7
246.8,476.7
246.7,476.7
246.6,476.7
246.5,476.7
246.4,476.7
246.3,476.7
246.2,476.7
246.1,476.7
246.1,476.6
246,476.6
245.9,476.6
245.9,476.5
245.8,476.5
245.7,476.5
245.7,476.4
245.6,476.3
245.6,476.2
245.7,476.1
245.7,476
245.6,476
245.6,475.9
245.6,475.8
245.5,475.8
245.4,475.7
245.3,475.7
245.2,475.6
245.1,475.6
245.1,475.5
245,475.4
245,475.3
244.9,475.3
244.9,475.2
244.8,475.2
244.8,475.1
244.7,475.1
244.7,475.2
244.7,475.1
244.6,475.2
244.6,475.1
244.5,475.1
244.5,475
244.5,474.9
244.4,474.9
244.4,474.8
244.4,474.7
244.4,474.6
244.3,474.5
244.2,474.5
244.1,474.5
244.1,474.6
244,474.6
243.9,474.6
243.8,474.6
243.7,474.6
243.6,474.6
243.5,474.6
243.5,474.5
243.4,474.5
243.4,474.4
243.4,474.3
243.3,474.3
243.4,474.2
243.4,474.1
243.4,474
243.4,473.9
243.4,473.8
243.4,473.7
243.4,473.6
243.3,473.6
243.2,473.6
243.1,473.6
243.1,473.5
243,473.5
242.9,473.5
242.8,473.4
242.8,473.3
242.7,473.2
242.7,473.1
242.8,473.1
242.8,473
242.9,472.9
242.8,472.9
242.8,472.8
242.8,472.7
242.8,472.6
242.8,472.5
242.8,472.4
242.9,472.4
242.9,472.3
243,472.3
243,472.2
243,472.1
243,472
242.9,472
242.9,471.9
242.8,471.9
242.8,471.8
242.7,471.8
242.6,471.8
242.5,471.8
242.4,471.8
242.3,471.8
242.2,471.8
242.2,471.9
242.1,471.9
242.1,472
242,472
241.9,472
241.8,472.1
241.8,472.2
241.7,472.3
241.7,472.4
241.6,472.4
241.5,472.4
241.4,472.4
241.3,472.4
241.2,472.4
241.1,472.4
241.1,472.3
241,472.3
241,472.2
240.9,472.2
240.8,472.2
240.7,472.2
240.6,472.2
240.6,472.1
240.6,472
240.5,472
240.5,471.9
240.4,471.9
240.3,471.8
240.3,471.7
240.2,471.6
240.2,471.5
240.1,471.5
240.1,471.4
240,471.4
239.9,471.3
239.9,471.4
239.8,471.4
239.7,471.4
239.6,471.4
239.5,471.4
239.4,471.4
239.4,471.5
239.3,471.5
239.2,471.5
239.1,471.5
239,471.5
238.9,471.5
238.9,471.6
238.8,471.7
238.7,471.8
238.7,471.9
238.6,471.9
238.6,472
238.6,472.1
238.5,472.1
238.4,472.1
238.4,472.2
238.3,472.2
238.3,472.3
238.3,472.4
238.3,472.5
238.2,472.5
238.2,472.6
238.3,472.6
238.3,472.7
238.2,472.7
238.2,472.8
238.2,472.9
238.1,473
238.1,473.1
238,473.1
238,473.2
237.9,473.3
237.9,473.4
238,473.4
238,473.5
238,473.6
238,473.7
238,473.8
238,473.9
237.9,473.9
237.8,473.9
237.7,473.9
237.6,474
237.5,474
237.4,474
237.3,474
237.2,474
237.2,474.1
237.1,474.1
237,474.1
236.9,474.1
236.8,474.1
236.8,474.2
236.7,474.2
236.6,474.2
236.5,474.2
236.4,474.2
236.4,474.3
236.3,474.3
236.2,474.3
236.1,474.3
236,474.3
235.9,474.4
235.8,474.4
235.7,474.4
235.6,474.4
235.5,474.5
235.4,474.5
235.3,474.5
235.2,474.5
234.8,474.6
234.7,474.7
234.3,474.7
234.1,474.8
233.8,474.9
233.7,474.9
233.6,474.9
233.5,474.9
233.4,474.9
233.4,475
233.3,475
233.2,475
233.1,475
233,475
232.9,475
232.8,475
232.7,475
232.6,475
232.4,475
232.3,475
232.2,475
232.1,475
232,475
231.9,475
231.8,475
231.7,474.9
231.6,474.9
231.5,474.9
231.4,474.9
231.3,474.9
231.2,474.9
231.1,474.9
231,474.9
230.9,474.8
230.9,474.7
230.8,474.6
230.8,474.5
230.8,474.4
230.7,474.4
230.7,474.3
230.6,474.3
230.6,474.2
230.5,474.2
230.5,474.1
230.4,474.1
230.4,474.2
230.3,474.2
230.2,474.2
230.1,474.2
230.1,474.3
230,474.3
229.9,474.4
229.8,474.5
229.7,474.5
229.7,474.6
229.6,474.6
229.5,474.6
229.5,474.7
229.4,474.7
229.3,474.7
229.2,474.7
229.1,474.7
229,474.8
228.9,474.8
228.9,474.9
228.9,475
228.9,475.1
228.9,475.2
228.8,475.2
228.8,475.3
228.8,475.4
228.7,475.5
228.6,475.5
228.5,475.6
228.4,475.6
228.4,475.7
228.3,475.7
228.2,475.7
228.1,475.7
228.1,475.8
228,475.8
227.9,475.9
227.9,476
227.9,476.1
228,476.2
228,476.3
228,476.4
227.9,476.4
227.9,476.5
227.9,476.6
227.9,476.7
227.9,476.8
227.8,476.8
227.9,476.9
227.8,476.9
227.8,477
227.7,477.2
227.7,477.3
227.6,477.4
227.6,477.5
227.5,477.5
227.5,477.6
227.4,477.6
227.4,477.7
227.3,477.7
227.3,477.8
227.3,477.9
227.2,477.9
227.2,478
227.1,478
227.1,478.1
227,478.1
226.9,478.1
226.9,478.2
226.8,478.1
226.7,478.1
226.6,478
226.5,478
226.4,478
226.2,477.9
226.1,477.9
226,478
225.9,478
225.8,478.1
225.7,478.1
225.6,478.2
225.5,478.2
225.4,478.2
225.3,478.3
225.2,478.3
225.1,478.3
225,478.3
224.9,478.3
224.9,478.4
224.8,478.4
224.7,478.5
224.6,478.5
224.5,478.5
224.5,478.6
224.4,478.6
224.3,478.6
224.2,478.6
224.1,478.6
224,478.6
223.9,478.6
223.8,478.5
223.7,478.5
223.6,478.5
223.6,478.4
223.5,478.4
223.4,478.3
223.3,478.3
223.3,478.2
223.1,478.2
223.1,478.1
223,478.1
223,478
222.9,478
222.8,477.9
222.7,477.9
222.6,477.8
222.5,477.8
222.4,477.8
222.2,477.8
222.2,477.7
222.1,477.7
222,477.7
221.9,477.5
221.8,477.5
221.7,477.4
221.6,477.3
221.5,477.2
221.4,477
221.2,476.9
221,476.7
220.9,476.5
220.8,476.5
220.7,476.4
220.6,476.4
220.6,476.3
220.4,476.2
220.3,476.1
220.2,476.1
220.2,476
220.1,475.9
220.1,475.8
220.1,475.7
220,475.6
220,475.5
219.9,475.4
219.9,475.3
219.9,475.2
219.8,475.1
219.7,474.9
219.6,474.8
219.5,474.7
219.5,474.6
219.4,474.5
219.3,474.4
219.3,474.3
219.2,474.2
219.1,474.1
219.1,474
219,474
218.9,473.9
218.8,473.9
218.8,473.8
218.7,473.8
218.7,473.7
218.6,473.7
218.5,473.6
218.4,473.5
218.3,473.5
218.2,473.5
218.2,473.4
218.1,473.4
218,473.4
218,473.3
217.9,473.3
217.8,473.3
217.7,473.2
217.6,473.2
217.5,473.2
217.4,473.2
217.3,473.2
217.2,473.2
217.1,473.3
217,473.3
216.9,473.3
216.8,473.3
216.7,473.3
216.6,473.2
216.5,473.2
216.4,473.2
216.3,473.2
216.3,473.1
216.2,473.1
216.1,473.1
216,473
215.8,472.9
215.7,472.8
215.6,472.8
215.5,472.7
215.4,472.7
215.3,472.7
215.2,472.6
215.1,472.6
215,472.6
214.9,472.5
214.8,472.5
214.7,472.5
214.7,472.4
214.6,472.4
214.5,472.4
214.5,472.3
214.4,472.3
214.3,472.3
214.3,472.2
214.3,472.3
214.2,472.3
214.2,472.4
214.1,472.4
214.1,472.5
214.1,472.6
214.1,472.7
214.1,472.8
214.1,472.9
214.1,473
214.1,473.1
214.2,473.2
214.2,473.3
214.2,473.4
214.2,473.5
214.1,473.6
214,473.6
214,473.7
214,473.8
213.9,473.8
213.9,473.9
213.8,473.9
213.8,474
213.7,474
213.7,474.1
213.7,474.2
213.6,474.2
213.6,474.3
213.5,474.3
213.5,474.4
213.4,474.5
213.4,474.6
213.5,474.6
213.4,474.7
213.4,474.8
213.4,474.9
213.5,474.9
213.6,475
213.6,475.1
213.7,475.1
213.7,475.2
213.8,475.2
213.8,475.3
213.8,475.4
213.9,475.4
213.9,475.5
213.9,475.6
213.9,475.7
214,475.7
214,475.8
214,475.9
214.1,475.9
214,475.9
214.1,476
214.1,476.1
214.1,476.2
214,476.2
214.1,476.2
214.1,476.3
214.1,476.4
214.2,476.5
214.2,476.6
214.3,476.7
214.3,476.8
214.3,476.9
214.4,476.9
214.4,477
214.4,477.1
214.5,477.2
214.5,477.3
214.4,477.3
214.4,477.4
214.4,477.5
214.4,477.6
214.4,477.7
214.5,477.7
214.5,477.8
214.4,477.8
214.4,477.9
214.4,478
214.4,478.1
214.5,478.1
214.5,478.2
214.5,478.3
214.5,478.4
214.5,478.5
214.5,478.6
214.6,478.6
214.6,478.7
214.6,478.8
214.7,478.8
214.7,478.9
214.7,479
214.8,479
214.8,479.1
214.7,479.2
214.7,479.3
214.7,479.4
214.8,479.4
214.8,479.5
214.8,479.6
214.8,479.7
214.9,479.8
214.9,479.9
214.9,480
214.8,480.1
214.8,480.2
214.8,480.3
214.8,480.4
214.7,480.4
214.7,480.5
214.8,480.5
214.8,480.6
214.8,480.7
214.8,480.8
214.8,480.9
214.8,481
214.8,481.1
214.8,481.2
214.8,481.3
214.7,481.4
214.6,481.4
214.6,481.5
214.5,481.6
214.4,481.5
214.3,481.5
214.3,481.6
214.2,481.6
214.1,481.6
214,481.6
214,481.7
213.9,481.7
213.9,481.8
213.8,481.8
213.8,481.9
213.7,482
213.6,482
213.5,482
213.4,482
213.4,482.1
213.4,482.2
213.3,482.2
213.3,482.3
213.2,482.4
213.2,482.5
213.2,482.6
213.1,482.7
213.1,482.8
213.1,482.9
213.1,483
213.1,483.1
213.1,483.2
213,483.2
213,483.3
212.9,483.3
212.9,483.4
212.9,483.5
213,483.5
212.9,483.6
213,483.6
212.9,483.6
212.9,483.7
212.9,483.8
212.9,483.9
212.9,484
212.9,484.1
212.8,484.1
212.8,484.2
212.8,484.3
212.7,484.3
212.7,484.4
212.6,484.4
212.6,484.5
212.6,484.6
212.6,484.7
212.6,484.8
212.5,484.8
212.4,484.9
212.4,485
212.3,485.1
212.3,485.2
212.2,485.3
212.1,485.4
212.1,485.5
212.1,485.6
212.2,485.6
212.2,485.7
212.2,485.8
212.2,485.9
212.2,486
212.3,486
212.3,486.1
212.3,486.2
212.4,486.3
212.4,486.4
212.4,486.5
212.4,486.6
212.5,486.6
212.5,486.7
212.6,486.7
212.6,486.8
212.6,486.9
212.7,486.9
212.7,487
212.7,487.1
212.7,487.2
212.7,487.3
212.7,487.4
212.7,487.5
212.7,487.6
212.7,487.7
212.7,487.8
212.7,487.9
212.7,488
212.7,488.1
212.7,488.2
212.7,488.3
212.7,488.4
212.7,488.5
212.7,488.6
212.7,488.7
212.7,488.8
212.6,488.8
212.7,488.8
212.7,488.9
212.7,489
212.6,489.1
212.7,489.1
212.7,489.2
212.6,489.2
212.6,489.3
212.6,489.4
212.6,489.5
212.6,489.6
212.5,489.6
212.5,489.7
212.6,489.7
212.6,489.8
212.6,489.9
212.7,489.9
212.8,489.9
212.9,490
212.9,490.1
213,490.1
213,490.2
213,490.3
213,490.4
212.9,490.4
212.9,490.5
212.9,490.6
212.9,490.7
212.8,490.8
212.8,490.9
212.7,490.9
212.7,491
212.6,491.1
212.6,491.2
212.6,491.3
212.6,491.4
212.7,491.4
212.7,491.5
212.6,491.5
212.6,491.6
212.6,491.7
212.6,491.8
212.5,491.9
212.5,492
212.5,492.1
212.5,492.2
212.4,492.3
212.4,492.4
212.4,492.5
212.4,492.6
212.3,492.6
212.3,492.7
212.3,492.8
212.3,492.9
212.2,492.9
212.2,493
212.1,493
212.1,493.1
212,493.2
212,493.3
212,493.4
212,493.5
212,493.6
212,493.7
211.9,493.8
211.8,493.8
211.8,493.9
211.7,494
211.6,494
211.6,494.1
211.6,494.2
211.6,494.3
211.5,494.3
211.5,494.4
211.5,494.5
211.4,494.5
211.3,494.5
211.3,494.6
211.2,494.6
211.2,494.7
211.1,494.7
211.1,494.8
